Title,Author,weeks on bestseller list
SAINT ODD,Dean Koontz,3
LOSING IT,Cora Carmack,3
MAGIC,Danielle Steel,3
THE BAKER'S DAUGHTER,Sarah McCoy,3
THE GIRL WHO CAME HOME,Hazel Gaynor,3
THE MAN IN THE HIGH CASTLE,Philip K Dick,3
RUSHING WATERS,Danielle Steel,3
SUMMER SECRETS,Barbara Freethy,3
THE MAYAN SECRETS,Clive Cussler and Thomas Perry,3
THE MISTRESS,Danielle Steel,3
HOTEL VENDOME,Danielle Steel,3
MINDING FRANKIE,Maeve Binchy,3
WHO DO YOU LOVE,Jennifer Weiner,3
POWER PLAY,Catherine Coulter,3
COME RAIN OR COME SHINE,Jan Karon,3
WHAT THE NIGHT KNOWS,Dean Koontz,3
MAD RIVER,John Sandford,3
THE DOVEKEEPERS,Alice Hoffman,3
FRIENDS FOREVER,Danielle Steel,3
COLLIDE,Gail McHugh,3
BETRAYAL,Danielle Steel,3
PIRANHA,Clive Cussler and Boyd Morrison,3
SIXKILL,Robert B Parker,3
MY BRILLIANT FRIEND,Elena Ferrante,3
BOMBSHELL,Catherine Coulter,3
THE CHANCE,Ron Carr,3
THE DEVIL COLONY,James Rollins,3
MIRACLE CURE,Harlan Coben,3
THE GIRL BEFORE,J P Delaney,3
DELUSION IN DEATH,J D Robb,3
THE WISE MAN'S FEAR,Patrick Rothfuss,3
SAY YOU'LL STAY,Corinne Michaels,3
CELEBRITY IN DEATH,J D Robb,3
MOTIVE,Jonathan Kellerman,3
HAPPY BIRTHDAY,Danielle Steel,3
PROPERTY OF A NOBLEWOMAN,Danielle Steel,3
CHILL FACTOR,Sandra Brown,3
SKIN GAME,Jim Butcher,3
BACKFIRE,Catherine Coulter,3
TAKEN,Robert Crais,3
THE TIGER'S WIFE,Téa Obreht,3
THE BALLER,Vi Keeland,3
SUICIDE RUN,Michael Connelly,3
ODESSA SEA,Clive Cussler and Dirk Cussler,3
POSEIDON'S ARROW,Clive Cussler and Dirk Cussler,3
ISLAND OF GLASS,Nora Roberts,3
PRINCE LESTAT,Anne Rice,3
LAST TO DIE,Tess Gerritsen,3
MYSTERY,Jonathan Kellerman,3
CALCULATED IN DEATH,J D Robb,3
TODAY WILL BE DIFFERENT,Maria Semple,3
THIS IS WHERE I LEAVE YOU,Jonathan Tropper,3
THE GANGSTER,Clive Cussler and Justin Scott,3
HAVANA STORM,Clive Cussler,3
STUCK-UP SUIT,Vi Keeland and Penelope Ward,3
THANKLESS IN DEATH,J D Robb,3
OFF THE GRID,C J Box,3
ASHLEY BELL,Dean Koontz,3
THE NEXT BEST THING,Jennifer Weiner,3
CATCH ME,Lisa Gardner,3
MIRROR IMAGE,Sandra Brown,3
WOOL OMNIBUS EDITION,Hugh Howey,3
THE THIRD GATE,Lincoln Child,2
BEFORE I GO TO SLEEP,S J Watson,2
HEARTSONG,Debbie Macomber,2
SEVENEVES,Neal Stephenson,2
THE SINS OF THE MOTHER,Danielle Steel,2
SUNRISE POINT,Ron Carr,2
BELIEVING THE LIE,Elizabeth George,2
THE MELODY LINGERS ON,Mary Higgins Clark,2
MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,Fredrik Backman,2
THE DINNER,Herman Koch,2
WHITE FIRE,Douglas Preston and Lincoln Child,2
BLIND PURSUIT,Michael Prescott,2
GHOST SHIP,Clive Cussler and Graham Brown,2
HEAT RISES,Richard Castle,2
A PERFECT LIFE,Danielle Steel,2
GONE - PART TWO,Deborah Bladon,2
DREAMS OF JOY,Lisa See,2
MOONGLOW,Michael Chabon,2
THE TWELVE TRIBES OF HATTIE,Ayana Mathis,2
DEADLINE,Sandra Brown,2
THE WINTER SEA,Susanna Kearsley,2
THE ENEMY INSIDE,Steve Martini,2
BE CAREFUL WHAT YOU WISH FOR,Jeffrey Archer,2
WIFE BY WEDNESDAY,Catherine Bybee,2
WHISPER BEACH,Shelley Noble,2
COLD VENGEANCE,Douglas Preston and Lincoln Child,2
ZOO 2,James Patterson with Max DiLallo,2
THE SUMMER GARDEN,Sherryl Woods,2
COUNTRY,Danielle Steel,2
AMERICAN GODS,Neil Gaiman,2
BEAUTY FROM SURRENDER,Georgia Cates,2
DUST,Hugh Howey,2
BEAUTIFUL SACRIFICE,Jamie McGuire,2
WILD MAN CREEK,Ron Carr,2
THE FIREMAN,Joe Hill,2
77 SHADOW STREET,Dean Koontz,2
WILDEST DREAMS,Ron Carr,2
THE 9TH JUDGMENT,James Patterson and Maxine Paetro,2
LOVER AT LAST,J R Ward,2
GUILT,Jonathan Kellerman,2
TRUE GRIT,Charles Portis,2
THE SILVER STAR,Jeannette Walls,2
THE EYE OF HEAVEN,Clive Cussler and Russell Blake,2
THE KEPT WOMAN,Karin Slaughter,2
LOVE IN A NUTSHELL,Janet Evanovich and Dorien Kelly,2
ANTI-STEPBROTHER,Tijan,2
FLASH AND BONES,Kathy Reichs,2
THE REDEMPTION OF CALLIE AND KAYDEN,Jessica Sorensen,2
MILLER'S VALLEY,Anna Quindlen,2
SIZZLING SIXTEEN,Janet Evanovich,2
OBSESSION IN DEATH,J D Robb,2
THE PROMISE,Ron Carr,2
THE 14TH COLONY,Steve Berry,2
THE HANDMAID'S TALE,Margaret Atwood,2
THE BILLIONAIRE'S OBSESSION,J S Scott,2
NOS4A2,Joe Hill,2
ISLAND OF LOST GIRLS,Jennifer McMahon,2
LOST TO YOU,A L Jackson,2
THE SELLOUT,Paul Beatty,2
TALL_ DARK AND DEADLY,Lisa Renee Jones,2
LEAVE ME BREATHLESS,Cherrie Lynn,2
FALLING FOR MY BEST FRIEND'S BROTHER,J S Cooper,2
WILLOW BROOK ROAD,Sherryl Woods,2
DAMAGED 2,H M Ward,2
TOM CLANCY UNDER FIRE,Grant Blackwood,2
THE SCAM,Janet Evanovich and Lee Goldberg,2
FIRE TOUCHED,Patricia Briggs,2
THE WIND THROUGH THE KEYHOLE,Stephen King,2
UGLY LOVE,Colleen Hoover,2
THE OBSIDIAN CHAMBER,Douglas Preston and Lincoln Child,2
ENVY,Sandra Brown,2
44 CHARLES STREET,Danielle Steel,2
TOM CLANCY: DUTY AND HONOR,Grant Blackwood,2
WINNERS,Danielle Steel,2
LOVE LETTERS,Debbie Macomber,2
DREAMS OF A DARK WARRIOR,Kresley Cole,2
HER LAST LETTER,Nancy C Johnson,2
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,Haruki Murakami,2
PIRATE,Clive Cussler and Robin Burcell,2
THE SCOTTISH PRISONER,Diana Gabaldon,2
PURITY,Jonathan Franzen,2
WICKED FIRSTS,Elisabeth Naughton and others,2
BEST KEPT SECRET,Jeffrey Archer,2
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,2
HELL'S CORNER,David Baldacci,2
A NEW HOPE,Ron Carr,2
ONE PLUS ONE,Jojo Moyes,2
FAMILY JEWELS,Stuart Woods,2
BECAUSE OF MISS BRIDGERTON,Julia Quinn,2
IF YOU STAY,Courtney Cole,2
THE END GAME,Catherine Coulter and J T Ellison,2
EVERYBODY'S FOOL,Richard Russo,2
ALL DRESSED IN WHITE,Mary Higgins Clark and Alafair Burke,2
PRECIOUS GIFTS,Danielle Steel,2
DARK MATTER,Blake Crouch,2
CURIOUS MINDS,Janet Evanovich and Phoef Sutton,2
SECOND WATCH,J A Jance,2
NAKED,Raine Miller,2
THE WHOLE ENCHILADA,Diane Mott Davidson,2
THE CREED LEGACY,Linda Lael Miller,2
FIRST SIGHT,Danielle Steel,2
PLAY,Kylie Scott,2
THE PROMISE,Robert Crais,2
THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,2
THE PRESIDENT'S SHADOW,Brad Meltzer,2
